"Yök Yayın İd","Yayın Adı","Yıl","Tür","Dergi Adı","Yazar Adı","Endeks Türü","Cilt","Sayı","İlk Sayfa","Son Sayfa","Kapsam","Teşvik Puan (Ham)","","Eylem"
"6883965","The efficacy of clinical pathway in gastric cancer surgery","2020","Özgün Makale","Turkish Journal of Surgery","GÜNER ALİ1","Diğer endeksler","36","2","39","47","Uluslararası","4.5","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6861791","Risk factors affecting the success of percutaneous cholecystostomy treatment in high-risk patients with acute cholecystitis","2020","Özgün Makale","Annals of Medical Research","aktaş aydın,ULUŞAHİN MEHMET,ÇEKİÇ ARİF BURAK,Ates Muhammet,REİS MURAT EMRE,Tayar Serkan,USTA MEHMET ARİF,GÜNER ALİ,TÜRKYILMAZ SERDAR,AĞAOĞLU NAZIM,ÇALIK ADNAN11","TR DİZİN","27","10","2695","","Ulusal","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6837446","Perioperative or intraoperative blood transfusion increases the risk of postoperative pancreatic fistula following pancreaticoduodenectomy","2020","Özgün Makale","Annals of Medical Research","AKTAŞ AYDIN,ÇEKİÇ ARİF BURAK,ATEŞ MUHAMMET,REİS MURAT EMRE,ULUŞAHİN MEHMET,GÜNER ALİ,TÜRKYILMAZ SERDAR7","TR DİZİN","27","10","2585","2591","Ulusal","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6829040","Scoring Systems for the Prediction of Mortality in Patient with Fournier’s Gangrene: an Analysis of 60 Patients","2020","Özgün Makale","Springer Science and Business Media LLC","USTA MEHMET ARİF,ULUŞAHİN MEHMET,TAYAR SERKAN,ÇEKİÇ ARİF BURAK,KAZAZ İLKE ONUR,GÜNER ALİ,TÜRKYILMAZ SERDAR7","SCI-Expanded","83","3","696","702","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6796658","Efficacy of stomach-partitioning on gastric emptying in patients undergoing palliative gastrojejunostomy for malign gastric outlet obstruction","2020","Özgün Makale","Turkish Journal of Trauma and Emergency Surgery","Yıldırım Reyyan,CANDAŞ ALTINBAŞ BAHAR,USTA MEHMET ARİF,TÜRKYILMAZ SERDAR,ÇALIK ADNAN,GÜNER ALİ6","SCI-Expanded","26","5","678","684","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6777345","Comparison of Nutritional Screening Tools in Patients Undergoing Surgery for Gastric Cancer","2020","Özgün Makale","Medical Bulletin of Haseki","YILDIRIM Reyyan,CANDAŞ ALTINBAŞ BAHAR,USTA MEHMET ARİF,Erkul Oğuz,GÜNER ALİ5","TR DİZİN","58","2","153","161","Uluslararası","0.9","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6142484","Contribution of DECT in detecting serosal invasion of gastric cancer","2019","Özgün Makale","TURKISH JOURNAL OF MEDICAL SCIENCES","KÜPELİ ALİ,BULUT ESER,CANSU AYŞEGÜL,GÜNER ALİ,SOYTÜRK MEHMET,DANIŞAN GÜRKAN6","SCI-Expanded","49","3","782","788","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"6015628","A Rare Cause of Small Bowel Obstruction: Incarcerated Obturator Hernia","2019","Vaka Takdimi","Medical Bulletin of Haseki","TAYAR SERKAN,ULUŞAHİN MEHMET,ÇEKİÇ ARİF BURAK,GÜNER ALİ,TÜRKYILMAZ SERDAR5","Alan endeksleri","57","3","332","335","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"5725831","Comparisons between the Dosimetric and Clinical Outcomes of Tomotherapy and 3D Conformal Radiotherapy in Gastric Cancer Treatment","2019","Özgün Makale","Asian Pacific journal of cancer prevention","Küçüktülü Eda,Yürekli AF,TOPBAŞ MURAT,KEÇE CAN,GÜNER ALİ,KÜÇÜKTÜLÜ UZER6","Diğer endeksler","20","2","595","599","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
"5538585","International Variation in Surgical Practices in Units Performing Oesophagectomy for Oesophageal Cancer: A Unit Survey from the Oesophago-Gastric Anastomosis Audit (OGAA)","2019","Özgün Makale","World Journal of Surgery","BUNDRED JAMES,KAMARAJAH SIVESH,SiawAcheampong Kobby,Nepogodiev Dmitri,Jefferies Benjamin,Singh Pritam,Evans Richard,Griffiths Ewen,Alderson Derek,Gossage James,McKay Siobhan,Mohamed Imran,van Hillegersberg Richard,Vohra Ravinder,Wanigsooriya Kasun,Whitehouse Tony,Bagajevas Aleksandras,Bekele Abebe,BlancoColino Ruth,Da Roit Anna,El KafsiMawley Jihene,Gjata Arben,Gockel Ines,Guevara Castro Raul,Harustiak Tomas,Hsu PoKuei,IŞIK ARDA,Kechagias Aristotelis,Kennedy Andrew,Kidane Biniam,Mahendran Hans Alexander,Mejia Loreli,Moreno Jorge Ignacio,NEGOI IONUT,Santiago Azagra Juan,Sayyed Raza,Schneider Paul,Soares Antnio Sampaio,Sousa Mariana,Takeda Flavio Roberto,Vanstraten Stephanie,Wallner Bengt,Wijnhoven Bas,Achiam Michael,Agustin Tita,Ali Akbar,AlBahrani Ahmad,AlKhyatt Waleed,Albertsmeier Marcus,Algunahim Essa,Alkhaffaf Bilal,Allum William,Am Fernando,Andreollo Nelson,Arndt Andrew,Babor Richard,Barbosa Jose,Bardini Romeo,Beardsimone Duncan,Beban Grant,Bernardes Antonio,Bernisford Richard,Bianchi Alessandro,Bjelovic Milos,Boddy Alex,Bolca Ciprian,Bonavina Luigi,Bryce Gavin,Byrom Richard,Casaca Rui,Chan David,Charalabopoulos Alexandros,Cheong Edward,Ciotola Franco,ÇOLAK ELİF,Collins Cris,Constantinoiu Silviu,Costa Rita,Dahlke Marc,Darling Gail,Dawas Kahled,De Manzoni Giovanni,Denewer Adel,Devadas Michael,Dexter Simon,Dikinis Sarunas,Dimitrios Thedorou,Dolan James,Duong Cuong,Egberts Jan Hendrik,Elgharably Yasser,Elhadi Muhammed,Elmai Seifeldin,Amezquita Farias Fernando,Fekaj Enver,Fernandez Jesus,Forshaw Matthew,Freire Jose,French Daniel,Gacevski Goran,Gaedcke Jochen,Gananadha Sivakumar,Gijan Maria Moreno,Gokhale Jay,Gordon Alexandra,Grimminger Peter,Guevara Ra,GÜNER ALİ,Gutknecht Stefan,Habibollah Mahmood Zadeh,Halldestam Ingvar,Hedberg Jakob,Heisterkamp Joos,Higgs Simon,Hii Michael,Hindmarsh Andrew,Hoppner Jens,Isaza Andres,Izbicki Jakob,Jakobs Rod,Jain Prashant,Johansson Jan,Johnston Brian,Kafsi Jihene,Kassa Seyoum,Kechagias Aristotelis,Kelty Clive,Kennedy Andrew,Khan Iftikhar,Khoo David,Khyatt Syed,Kidane Biniam,Kjaer Daniel,Korkolis Dimitris,Kreuser Nicole,Larsen Michael,Lau Peng,Leite Julio,Lewis Wyn,Liakakos Theodore,Loureiro Carlos,Maynard Nikholas,Mcgregor Richard,Mcnally Stephen,Medina Franco Heriberto,Meguid Robert,Melhado Rachel,Mercel Stuart,Migliore Marcello,Mingol Fernando,Mogoanta Stelian,Mohri Yasuhiko,Mönig Stefan,Motas Natalia,Murphy Thomas,Naqi Syed,Ni Raj,Niazi Samiullah,Oglesby Stuart,Okonta Kelechi,Ortiz Susana Roldan,Pal Kywaja,Palazzo Francesco,Pascher Andreas,Pascual Migueal,Pato Giacomo,Pera Manuel,Puig Sonia,Ramirez Juan,Raptis Dimitrios,Rasanen Jari,Raim Daniel,Reynolds Joy,Robb William,Robertson Kevin,Rosero German,Rosman Camiel,Rossaak Jeremy,Saarnio Juha,Schiesser Marc,Scurtu Radu Ravan,Sekhniaidze Dmitii,SEVİNÇ BARIŞ,Skipworth Richard,So Jimmy,Soledad Trugeda Maria,Syed Aamir,Takahashi Alberto Mitsuo Leon,Talbot Michael,Tareen Muhammad,Tareshima Masanori,Testini Mario,Tewari Nila,Tez Mesut,Thomas Mathew,TIRNAKSIZ MEHMET BÜLENT,Tonini Valeria,Tu Cheng Che,Turner Paul,Underwood Tim,Uzair Ahmad,Vallve Bernal Marc,Varmasoni Michele,Vicente Carla,Videira Jose Flavio,Viswanath YKS,Vohra Ravinder,Weindelmayer Jacopo,White Russel,Wigle Dennis,Wilkerson Paul,Wills Vanessa,Zacharakis Emmanouil,Zuluaga Mauricio214","SCI","43","11","2874","2884","Uluslararası","","","Dosyalar İlişkili Eser Telif Hakkı/Erişim İzni AtıflarGüncelle Sil "
